gene_symbol	entrez_id	method	cell_type	cell_line	cancer_cell	senescence_type	senescence_effect	description	organism
ASF1A	25842	"Knockout, Overexpression"	"Lung fibroblast"	"Primary cell"	"No"	"Replicative, Oncogene-induced"	"Promotes"	"Ectopic expression of ASF1A in primary human fibroblasts caused cells to assume markers of senescence, including a large flat morphology, increased SA-beta-galactosidase activity and formation of SA-heterochromatin foci. In contrast, knockdown of ASF1A decreased the number of cells containing SA-heterochromatin foci and increased the BrdU-positive cells in Ras-induced senescence."	"Ectopic expression of ASF1A in primary human fibroblasts caused cells to assume markers of senescence, including a large flat morphology, increased SA-beta-galactosidase activity and formation of SA-heterochromatin foci. In contrast, knockdown of ASF1A decreased the number of cells containing SA-heterochromatin foci and increased the BrdU-positive cells in Ras-induced senescence."
ASPH	444	"Knockdown"	"Liver cancer"	"FOCUS, Huh7, HepG2"	"Yes"	"Replicative"	"Inhibits"	"Inhibition of ASPH expression and enzymatic activity significantly reduced cell proliferation and colony formation but induced tumor cell senescence."	"Inhibition of ASPH expression and enzymatic activity significantly reduced cell proliferation and colony formation but induced tumor cell senescence."
ATF7IP	55729	"Knockdown"	"Lung fibroblast"	"IMR-90"	"No"	"Stress-induced"	"Inhibits"	"Depletion of MCAF1 (ATF7IP) in fibroblasts induced premature senescence that was characterized by cell cycle arrest, increased SA-beta-galactosidase activity and SA-heterochromatin foci formation."	"Depletion of MCAF1 (ATF7IP) in fibroblasts induced premature senescence that was characterized by cell cycle arrest, increased SA-beta-galactosidase activity and SA-heterochromatin foci formation."
ATM	472	"Knockout"	"Foreskin fibroblast, Lung fibroblast"	"MRC-5, WI-38, BJ"	"No"	"Replicative"	"Inhibits"	"Human diploid fibroblasts from ataxia telangiectasia (an autosomal recessive disease caused by defects in the ATM gene) patients had an accelerated rate of telomere shortening and underwent premature cellular senescence compared to control cultures."	"Human diploid fibroblasts from ataxia telangiectasia (an autosomal recessive disease caused by defects in the ATM gene) patients had an accelerated rate of telomere shortening and underwent premature cellular senescence compared to control cultures."
AURKA	6790	"Knockdown"	"Embryonic kidney, Retinal pigment epithelial"	"hTERT-RPE1, HEK293T"	"Yes"	"Replicative"	"Inhibits"	"Using a high-content siRNA screening assay for cell morphology and proliferation measures, 12 senescence-regulating kinases (including AURKA) and their senescence marker signatures were determined, including elevation of SA-beta-galactosidase, DNA damage and p53 or p16 expression."	"Using a high-content siRNA screening assay for cell morphology and proliferation measures, 12 senescence-regulating kinases (including AURKA) and their senescence marker signatures were determined, including elevation of SA-beta-galactosidase, DNA damage and p53 or p16 expression."
AXL	558	"Overexpression"	"Lung fibroblast, Embryonic kidney"	"IMR-90, MRC-5, HEK293T"	"No"	"Replicative"	"Promotes"	"A library of 200 constitutively activated kinases was screened in order to identify kinases whose constitutive expression decreased cell proliferation and induced expression of senescence markers; p16 and SASP components. A total of 33 kinases showed pro-senescence effects (particularly MAP3K7, PRKCD, and MATK); kinases with strong pro-senescence effects, induced expression of SASP-component genes (e.g. IL1A, IL1B, IL6 and IL8) through activation of an NF-kappaB-dependent transcriptional program. Inhibition of the NF-kappaB, p53, or Rb pathway proved insufficient to prevent kinase-triggered cell cycle arrest."	"A library of 200 constitutively activated kinases was screened in order to identify kinases whose constitutive expression decreased cell proliferation and induced expression of senescence markers; p16 and SASP components. A total of 33 kinases showed pro-senescence effects (particularly MAP3K7, PRKCD, and MATK); kinases with strong pro-senescence effects, induced expression of SASP-component genes (e.g. IL1A, IL1B, IL6 and IL8) through activation of an NF-kappaB-dependent transcriptional program. Inhibition of the NF-kappaB, p53, or Rb pathway proved insufficient to prevent kinase-triggered cell cycle arrest."
BAG3	9531	"Knockdown"	"Laryngeal cancer, Glioma"	"A172, HEp2"	"Yes"	"Replicative"	"Inhibits"	"Depletion of BIS (BAG3) induced G1 arrest and cellular senescence through the accumulation of p27, independent of p53, p21 or p16. The increased p27 expression in BIS-depleted cells was attributable to an impairment of the ubiquitin-mediated degradation of p27, which was caused by a decrease in S-phase kinase-associated protein 2 (SKP2) at the transcriptional level. As an underlying molecular mechanism, the loss of activity of signal transducer and activator of transcription 3 (STAT3) was specifically linked to the suppression of SKP2 expression."	"Depletion of BIS (BAG3) induced G1 arrest and cellular senescence through the accumulation of p27, independent of p53, p21 or p16. The increased p27 expression in BIS-depleted cells was attributable to an impairment of the ubiquitin-mediated degradation of p27, which was caused by a decrease in S-phase kinase-associated protein 2 (SKP2) at the transcriptional level. As an underlying molecular mechanism, the loss of activity of signal transducer and activator of transcription 3 (STAT3) was specifically linked to the suppression of SKP2 expression."
BCL6	604	"Overexpression"	"B-cell"	"Primary cell"	"No"	"Replicative"	"Inhibits"	"BCL6 expression extended the replicative lifespan of primary human B cells and induced cyclin D1 expression, allowing cells to overcome the senescence program induced by the p19ARF-p53 pathway."	"BCL6 expression extended the replicative lifespan of primary human B cells and induced cyclin D1 expression, allowing cells to overcome the senescence program induced by the p19ARF-p53 pathway."
BHLHE40	8553	"Overexpression"	"Esophageal cancer, Breast cancer"	"EC9706, MCF-7"	"Yes"	"Stress-induced, Replicative"	"Promotes"	"BHLHE40 overexpression induced cellular senescence and inhibited cell growth and colony formation in esophageal cancer cells (EC9706)."	"BHLHE40 overexpression induced cellular senescence and inhibited cell growth and colony formation in esophageal cancer cells (EC9706)."
BLK	640	"Overexpression"	"Embryonic kidney, Lung fibroblast"	"IMR-90, MRC-5, HEK293T"	"No"	"Replicative"	"Promotes"	"A library of 200 constitutively activated kinases was screened in order to identify kinases whose constitutive expression decreased cell proliferation and induced expression of senescence markers; p16 and SASP components. A total of 33 kinases showed pro-senescence effects (particularly MAP3K7, PRKCD, and MATK); kinases with strong pro-senescence effects, induced expression of SASP-component genes (e.g. IL1A, IL1B, IL6 and IL8) through activation of an NF-kappaB-dependent transcriptional program. Inhibition of the NF-kappaB, p53, or Rb pathway proved insufficient to prevent kinase-triggered cell cycle arrest."	"A library of 200 constitutively activated kinases was screened in order to identify kinases whose constitutive expression decreased cell proliferation and induced expression of senescence markers; p16 and SASP components. A total of 33 kinases showed pro-senescence effects (particularly MAP3K7, PRKCD, and MATK); kinases with strong pro-senescence effects, induced expression of SASP-component genes (e.g. IL1A, IL1B, IL6 and IL8) through activation of an NF-kappaB-dependent transcriptional program. Inhibition of the NF-kappaB, p53, or Rb pathway proved insufficient to prevent kinase-triggered cell cycle arrest."
BLVRA	644	"Knockdown"	"Fibroblast"	"Primary cell"	"No"	"Stress-induced"	"Inhibits"	"RNA interference of BLVRA resulted in an increased percentage of human diploid fibroblasts being arrested in the G0-G1 phase compared to controls. This was also accompanied by an upregulation of CDK inhibitor family members p16, p21 and p53, and a high expression of senescence-associated SA-beta-galactosidase."	"RNA interference of BLVRA resulted in an increased percentage of human diploid fibroblasts being arrested in the G0-G1 phase compared to controls. This was also accompanied by an upregulation of CDK inhibitor family members p16, p21 and p53, and a high expression of senescence-associated SA-beta-galactosidase."
BMI1	648	"Knockout, Overexpression"	"Foreskin fibroblast, Lung fibroblast, Skin fibroblast"	"WI-38, BJ, 82-6"	"No"	"Replicative"	"Inhibits"	"Overexpression of BMI1 extended replicative life span in WI-38 human fibroblasts. BMI1 was also downregulated when fibroblasts underwent replicative senescence, but not quiescence."	"Overexpression of BMI1 extended replicative life span in WI-38 human fibroblasts. BMI1 was also downregulated when fibroblasts underwent replicative senescence, but not quiescence."
BRAF	673	"Overexpression"	"Foreskin fibroblast, Melanocyte"	"Primary cell, BJ"	"No"	"Oncogene-induced"	"Promotes"	"Retroviral delivery of BRAF into normal human fibroblasts resulted in a cessation of proliferation, along with induction of senescence associated p16."	"Retroviral delivery of BRAF into normal human fibroblasts resulted in a cessation of proliferation, along with induction of senescence associated p16."
BRCA1	672	"Mutation"	"Breast cancer"	"HBL100, MCF-7, HCC1937"	"Yes"	"Stress-induced"	"Inhibits"	"BRCA1 deficiency resulted in increased senescence after induced DNA damage through drugs that generate intra- and interstrand cross links."	"BRCA1 deficiency resulted in increased senescence after induced DNA damage through drugs that generate intra- and interstrand cross links."
BRD7	29117	"Knockdown"	"Foreskin fibroblast"	"BJ"	"No"	"Replicative"	"Promotes"	"BRD7 depletion significantly delayed replicative senescence and increased proliferation rate in both young and mid-passage foreskin fibroblasts. Contrastly, overexpression of BRD7 induced premature senescence."	"BRD7 depletion significantly delayed replicative senescence and increased proliferation rate in both young and mid-passage foreskin fibroblasts. Contrastly, overexpression of BRD7 induced premature senescence."
BTG3	10950	"Knockdown"	"Lung fibroblast"	"IMR-90, WI-38"	"No"	"Replicative"	"Inhibits"	"Loss of BTG3 in normal lung fibroblasts induced cellular senescence, exhibiting enhanced ERK-AP1 signalling and elevated expression of the histone H3K27 demethylase JMJD3/KDM6B, leading to acute induction of p16, a senescence associated kinase inhibitor."	"Loss of BTG3 in normal lung fibroblasts induced cellular senescence, exhibiting enhanced ERK-AP1 signalling and elevated expression of the histone H3K27 demethylase JMJD3/KDM6B, leading to acute induction of p16, a senescence associated kinase inhibitor."
C11orf31	280636	"Knockdown"	"Lung fibroblast"	"MRC-5"	"No"	"Replicative"	"Inhibits"	"SelH (C11orf31) was knocked down in lung fibroblasts (MCR-5). SelH shRNA MRC-5 cells under ambient O2 displayed a distinct profile of senescence including increased SA-beta-galactosidase expression, autofluorescence, growth inhibition, and ATM pathway activation. Such senescence phenotypes were alleviated in the presence of ATM kinase inhibitors, p53 shRNA knockdown or by maintaining the cells under 3% O2."	"SelH (C11orf31) was knocked down in lung fibroblasts (MCR-5). SelH shRNA MRC-5 cells under ambient O2 displayed a distinct profile of senescence including increased SA-beta-galactosidase expression, autofluorescence, growth inhibition, and ATM pathway activation. Such senescence phenotypes were alleviated in the presence of ATM kinase inhibitors, p53 shRNA knockdown or by maintaining the cells under 3% O2."
CAV1	857	"Knockdown"	"Fibroblast"	"Primary cell"	"No"	"Replicative"	"Promotes"	"CAV1 reduction through RNA interference reversed some of the morphological changes of senescent foreskin fibroblasts."	"CAV1 reduction through RNA interference reversed some of the morphological changes of senescent foreskin fibroblasts."
CBX7	23492	"Overexpression, Knockdown"	"Lung fibroblast, Keratinocyte"	"WI-38, Primary cell"	"No"	"Replicative"	"Inhibits"	"Ectopic expression of CBX7 extended replicative lifespan in normal human keratinocytes and fibroblasts. CBX7 expression was also found to be downregulated during replicative senescence and its ablation through RNA interference inhibited growth of normal cells. Taken together, these data showed that CBX7 controls cellular lifespan through regulation of both the p16(Ink4a)/Rb and the Arf/p53 pathways."	"Ectopic expression of CBX7 extended replicative lifespan in normal human keratinocytes and fibroblasts. CBX7 expression was also found to be downregulated during replicative senescence and its ablation through RNA interference inhibited growth of normal cells. Taken together, these data showed that CBX7 controls cellular lifespan through regulation of both the p16(Ink4a)/Rb and the Arf/p53 pathways."
CBX8	57332	"Overexpression"	"Fibroblast"	"TIG-3"	"No"	"Replicative"	"Inhibits"	"Inhibition of CBX8 expression lead to a complete growth arrest and increased levels of p16 in telomerase-immortalized TIG-3 human diploid fibroblasts. Moreover, overexpressing CBX8 bypassed oncogene- and stress-induced senescence in mouse embryonic fibroblasts."	"Inhibition of CBX8 expression lead to a complete growth arrest and increased levels of p16 in telomerase-immortalized TIG-3 human diploid fibroblasts. Moreover, overexpressing CBX8 bypassed oncogene- and stress-induced senescence in mouse embryonic fibroblasts."
CCND1	595	"Overexpression"	"Fibroblast"	"WI-38, Hs68"	"No"	"Replicative"	"Promotes"	"Endogenous or ectopical expression of cyclin D1 (CCND1) in normal human diploid fibroblasts resulted in replicative senescence, with cells being unable to enter the S phase. Moreover, senescent cells expressed significantly higher levels of cyclin D1 than control cells."	"Endogenous or ectopical expression of cyclin D1 (CCND1) in normal human diploid fibroblasts resulted in replicative senescence, with cells being unable to enter the S phase. Moreover, senescent cells expressed significantly higher levels of cyclin D1 than control cells."
CDK1	983	"Knockdown"	"Retinal pigment epithelial, Embryonic kidney"	"hTERT-RPE1, HEK293T"	"Yes"	"Replicative"	"Inhibits"	"Using a high-content siRNA screening assay for cell morphology and proliferation measures, 12 senescence-regulating kinases (including CDK1) and their senescence marker signatures were determined, including elevation of SA-beta-galactosidase, DNA damage and p53 or p16 expression."	"Using a high-content siRNA screening assay for cell morphology and proliferation measures, 12 senescence-regulating kinases (including CDK1) and their senescence marker signatures were determined, including elevation of SA-beta-galactosidase, DNA damage and p53 or p16 expression."
CDK18	5129	"Overexpression"	"Embryonic kidney, Lung fibroblast"	"IMR-90, MRC-5, HEK293T"	"No"	"Replicative"	"Promotes"	"A library of 200 constitutively activated kinases was screened in order to identify kinases whose constitutive expression decreased cell proliferation and induced expression of senescence markers; p16 and SASP components. A total of 33 kinases showed pro-senescence effects (particularly MAP3K7, PRKCD, and MATK); kinases with strong pro-senescence effects, induced expression of SASP-component genes (e.g. IL1A, IL1B, IL6 and IL8) through activation of an NF-kappaB-dependent transcriptional program. Inhibition of the NF-kappaB, p53, or Rb pathway proved insufficient to prevent kinase-triggered cell cycle arrest."	"A library of 200 constitutively activated kinases was screened in order to identify kinases whose constitutive expression decreased cell proliferation and induced expression of senescence markers; p16 and SASP components. A total of 33 kinases showed pro-senescence effects (particularly MAP3K7, PRKCD, and MATK); kinases with strong pro-senescence effects, induced expression of SASP-component genes (e.g. IL1A, IL1B, IL6 and IL8) through activation of an NF-kappaB-dependent transcriptional program. Inhibition of the NF-kappaB, p53, or Rb pathway proved insufficient to prevent kinase-triggered cell cycle arrest."
CDK2AP1	8099	"Knockdown"	"Dermal fibroblast"	"Primary cell"	"No"	"Replicative"	"Inhibits"	"Knockdown of CDK2AP1 (using short-hairpin RNA) in human dermal fibroblasts resulted in reduced proliferation and increased SA-beta-galactosidase activity."	"Knockdown of CDK2AP1 (using short-hairpin RNA) in human dermal fibroblasts resulted in reduced proliferation and increased SA-beta-galactosidase activity."
CDK4	1019	"Overexpression"	"Foreskin fibroblast"	"BJ"	"No"	"Replicative"	"Inhibits"	"Overexpression of CDK4 in near senescent foreskin fibroblasts resulted in an increase in their replicative capacity."	"Overexpression of CDK4 in near senescent foreskin fibroblasts resulted in an increase in their replicative capacity."
CDK6	1021	"Overexpression"	"Foreskin fibroblast"	"BJ"	"No"	"Replicative"	"Inhibits"	"Overexpression of CDK6 in near senescent foreskin fibroblasts resulted in an increase in their replicative capacity."	"Overexpression of CDK6 in near senescent foreskin fibroblasts resulted in an increase in their replicative capacity."
CDKN1A	1026	"Knockout"	"Fibroblast"	"LF1"	"No"	"Replicative"	"Promotes"	"p21 (CDKN1A) is a common marker of senescence. Inactivation of p21 in normal diploid human fibroblasts resulted in a bypass of replicative senescence. After an initial decline in proliferation, fibroblast cells resumed growth and cultures containing a high proportion of senescent cells spontaneously give rise to new, non-senescent colonies."	"p21 (CDKN1A) is a common marker of senescence. Inactivation of p21 in normal diploid human fibroblasts resulted in a bypass of replicative senescence. After an initial decline in proliferation, fibroblast cells resumed growth and cultures containing a high proportion of senescent cells spontaneously give rise to new, non-senescent colonies."
CDKN1B	1027	"Overexpression"	"Lung fibroblast"	"TIG-3"	"No"	"Replicative"	"Promotes"	"p27 (CDKN1B) is a common marker of senescence. Ectopic expression of p27 in young human diploid fibroblasts (TIG-3) resulted in a significantly lower rate of division, induced features of replicative senescence in young cells and caused growth arrest."	"p27 (CDKN1B) is a common marker of senescence. Ectopic expression of p27 in young human diploid fibroblasts (TIG-3) resulted in a significantly lower rate of division, induced features of replicative senescence in young cells and caused growth arrest."
CDKN1C	1028	"Overexpression"	"Liver cancer"	"HepG2, SNU-398"	"Yes"	"Replicative"	"Promotes"	"Upregulation of CDKN1C by cDNA transfection in liver cancer cells decreased tumor growth and resulted in a flat and lengthened cell morphology, increased SA-beta-galactosidase activity and increased p16 expression."	"Upregulation of CDKN1C by cDNA transfection in liver cancer cells decreased tumor growth and resulted in a flat and lengthened cell morphology, increased SA-beta-galactosidase activity and increased p16 expression."
CDKN2A	1029	"Overexpression"	"Lung fibroblast"	"TIG-3"	"No"	"Replicative"	"Promotes"	"p16 (CDKN2A) is a common marker of senescence. Overexpression of p16 caused G1 arrest in early passage of human diploid fibroblasts, these also displayed several phenotypic features of cellular senescence."	"p16 (CDKN2A) is a common marker of senescence. Overexpression of p16 caused G1 arrest in early passage of human diploid fibroblasts, these also displayed several phenotypic features of cellular senescence."
CDKN2AIP	55602	"Overexpression"	"Lung fibroblast"	"TIG-1, MRC-5"	"No"	"Replicative"	"Promotes"	"CARF (CDKN2AIP) was required for replicative and stress-induced senescence and its overexpression caused premature senescence in human fibroblasts. A lack of CARF caused aneuploidy and apoptosis."	"CARF (CDKN2AIP) was required for replicative and stress-induced senescence and its overexpression caused premature senescence in human fibroblasts. A lack of CARF caused aneuploidy and apoptosis."
CDKN2B	1030	"Overexpression"	"Glioblastoma"	"U-251MG, U-373MG, T98G"	"Yes"	"Replicative"	"Promotes"	"Overexpression of p15 (CDKN2B) inhibited cell proliferation and caused replicative senescence in human glioma cells."	"Overexpression of p15 (CDKN2B) inhibited cell proliferation and caused replicative senescence in human glioma cells."
CEBPB	1051	"Overexpression, Knockdown"	"Prostate cancer"	"LNCaP"	"Yes"	"Stress-induced"	"Promotes"	"Loss of C/EBP-beta (CEBPB) expression prevented growth arrest following androgen deprivation or anti-androgen challenge. Suppression of C/EBP-beta under low androgen conditions resulted in reduced expression of SASP genes, a decrease in SA-heterochromatin foci and increased numbers of Ki67-positive cells. Prostate cancer cells expressing C/EBP-beta exhibited morphological changes, reduced cell growth and increased senescence. It was also found that senescence contributed to cell survival under androgen deprivation, and C/EBP-beta-deficient cells were significantly more susceptible to killing by cytotoxic chemotherapy following androgen deprivation."	"Loss of C/EBP-beta (CEBPB) expression prevented growth arrest following androgen deprivation or anti-androgen challenge. Suppression of C/EBP-beta under low androgen conditions resulted in reduced expression of SASP genes, a decrease in SA-heterochromatin foci and increased numbers of Ki67-positive cells. Prostate cancer cells expressing C/EBP-beta exhibited morphological changes, reduced cell growth and increased senescence. It was also found that senescence contributed to cell survival under androgen deprivation, and C/EBP-beta-deficient cells were significantly more susceptible to killing by cytotoxic chemotherapy following androgen deprivation."
CENPA	1058	"Knockdown"	"Lung fibroblast"	"TIG-3"	"No"	"Replicative"	"Inhibits"	"RNA interference of CENP-A (CENPA) lead to premature senescence in human primary fibroblasts, dependent on p53 but not on p16. Additionally, CENP-A protein levels were diminished in senescent cells compared to young cells."	"RNA interference of CENP-A (CENPA) lead to premature senescence in human primary fibroblasts, dependent on p53 but not on p16. Additionally, CENP-A protein levels were diminished in senescent cells compared to young cells."
CHEK1	1111	"Knockout"	"Colon cancer"	"HCT116"	"Yes"	"Stress-induced"	"Promotes"	"CHEK1 knockdown resulted in a reduced G2 checkpoint arrest upon H2O2-induced senescence, both in wild type and p53 deficient cells. CHEK1 was shown to be required for G1 checkpoint arrest and knocking it down reversed the senescent phenotype."	"CHEK1 knockdown resulted in a reduced G2 checkpoint arrest upon H2O2-induced senescence, both in wild type and p53 deficient cells. CHEK1 was shown to be required for G1 checkpoint arrest and knocking it down reversed the senescent phenotype."
CKB	1152	"Overexpression"	"Embryonic kidney, Lung fibroblast"	"IMR-90, MRC-5, HEK293T"	"No"	"Replicative"	"Promotes"	"A library of 200 constitutively activated kinases was screened in order to identify kinases whose constitutive expression decreased cell proliferation and induced expression of senescence markers; p16 and SASP components. A total of 33 kinases showed pro-senescence effects (particularly MAP3K7, PRKCD, and MATK); kinases with strong pro-senescence effects, induced expression of SASP-component genes (e.g. IL1A, IL1B, IL6 and IL8) through activation of an NF-kappaB-dependent transcriptional program. Inhibition of the NF-kappaB, p53, or Rb pathway proved insufficient to prevent kinase-triggered cell cycle arrest."	"A library of 200 constitutively activated kinases was screened in order to identify kinases whose constitutive expression decreased cell proliferation and induced expression of senescence markers; p16 and SASP components. A total of 33 kinases showed pro-senescence effects (particularly MAP3K7, PRKCD, and MATK); kinases with strong pro-senescence effects, induced expression of SASP-component genes (e.g. IL1A, IL1B, IL6 and IL8) through activation of an NF-kappaB-dependent transcriptional program. Inhibition of the NF-kappaB, p53, or Rb pathway proved insufficient to prevent kinase-triggered cell cycle arrest."
CPEB1	64506	"Overexpression, Knockout"	"Lung fibroblast, Foreskin fibroblast"	"Primary cell, WI-38"	"No"	"Replicative"	"Promotes"	"Knockdown of CPEB1 caused skin and lung cells to bypass the M1 stage of replicative senescence and inhibited stress-induced cellular senescence. Reintroduction of CPEB1 into the knockdown cells restored a senescence-like phenotype."	"Knockdown of CPEB1 caused skin and lung cells to bypass the M1 stage of replicative senescence and inhibited stress-induced cellular senescence. Reintroduction of CPEB1 into the knockdown cells restored a senescence-like phenotype."
CSNK1A1	1452	"Knockdown"	"Embryonic kidney, Retinal pigment epithelial"	"hTERT-RPE1, HEK293T"	"Yes"	"Replicative"	"Inhibits"	"Using a high-content siRNA screening assay for cell morphology and proliferation measures, 12 senescence-regulating kinases (including CSNK1A1) and their senescence marker signatures were determined, including elevation of SA-beta-galactosidase, DNA damage and p53 or p16 expression."	"Using a high-content siRNA screening assay for cell morphology and proliferation measures, 12 senescence-regulating kinases (including CSNK1A1) and their senescence marker signatures were determined, including elevation of SA-beta-galactosidase, DNA damage and p53 or p16 expression."
CSNK2A1	1457	"Knockdown"	"Lung fibroblast"	"IMR-90"	"No"	"Replicative"	"Inhibits"	"Treatment with inhibitors or RNA interference of CKII (CSNK2A1) in lung fibroblasts (IMR-90 cells) lead to increased expression of p53 and p21 and a senescent phenotype, including an increase in SA-beta-galactosidase activity."	"Treatment with inhibitors or RNA interference of CKII (CSNK2A1) in lung fibroblasts (IMR-90 cells) lead to increased expression of p53 and p21 and a senescent phenotype, including an increase in SA-beta-galactosidase activity."
